hh_id,hhline,study_site,hhmem_relation_ego,hhmem_age,hhmem_gender,sleep_room_ego,hh_access_to_water,hh_toilet,hh_shared_toilet,hh_electricity,hh_refridgerator,hh_radio,hh_television,type_house,type_floor
HH1107,3,1,Sister,18,F,1,5,2,1,0,0,1,0,3,3
HH1107,4,1,Brother,10,M,0,5,2,1,0,0,1,0,3,3
HH1108,1,1,Wife,21,F,1, , , , , , , , , 
HH1108,2,1,Son,3,M,1, , , , , , , , , 
HH1108,3,1,Son,1,M,1, , , , , , , , , 
HH1108,4,1,Nephew,26,M,1, , , , , , , , , 
HH1109,1,1,Not related,21,M,1,4,1,1,0,0,0,0,3,3
HH1109,2,1,Grandfather,73,M,0,4,1,1,0,0,0,0,3,3
HH1110,1,1,Grandmother,60,F,1,5,2,1,0,0,1,0,3,3
HH1111,1,1,Not related,19,F,1,5,2,1,1,1,0,1,3,3
HH1111,2,1,Not related,18,F,1,5,2,1,1,1,0,1,3,3
HH1111,3,1,Not related,19,F,1,5,2,1,1,1,0,1,3,3
HH1112,1,1,Grandfather,79,M,0,5,3,1,0,0,0,0,3,3
HH1112,2,1,Mother,31,F,1,5,3,1,0,0,0,0,3,3
HH1112,3,1,Brother,9,M,0,5,3,1,0,0,0,0,3,3
HH1112,4,1,Sister,17,F,1,5,3,1,0,0,0,0,3,3
HH1112,5,1,Brother,1,M,1,5,3,1,0,0,0,0,3,3
HH1113,1,1,Mother,40,F,0,5,2,1,0,0,0,0,3,3
HH1113,2,1,Brother,21,M,0,5,2,1,0,0,0,0,3,3
HH1113,3,1,Brother,10,M,0,5,2,1,0,0,0,0,3,3
HH1114,1,1,Mother,61,F,0,5,5, ,0,0,0,0,2,3
HH1114,2,1,Brother,14,M,1,5,5, ,0,0,0,0,2,3
HH1115,1,1,Father,72,M,0,5,2,1,0,0,0,0,3,3
HH1115,2,1,Mother,49,F,0,5,2,1,0,0,0,0,3,3
HH1115,3,1,Aunt,74,F,0,5,2,1,0,0,0,0,3,3
HH1115,4,1,Sister,31,F,0,5,2,1,0,0,0,0,3,3
HH1115,5,1,Uncle,15,M,1,5,2,1,0,0,0,0,3,3
HH1115,6,1,Niece,0,F,0,5,2,1,0,0,0,0,3,3
HH1115,7,1,Nephew,10,M,0,5,2,1,0,0,0,0,3,3
HH1115,8,1,Nephew,7,M,0,5,2,1,0,0,0,0,3,3
HH1116,1,1,Grandmother,56,F,0,5,2,1,0,0,0,0,3,3
HH1116,2,1,Sister,17,F,0,5,2,1,0,0,0,0,3,3
HH1116,3,1,Uncle,19,M,1,5,2,1,0,0,0,0,3,3
HH1117,1,1,Grandfather,73,M,0,5,5, ,0,0,0,0,2,3
HH1117,2,1,Grandmother,55,F,0,5,5, ,0,0,0,0,2,3
HH1117,3,1,Brother,14,M,0,5,5, ,0,0,0,0,2,3
HH1117,4,1,Brother,10,M,0,5,5, ,0,0,0,0,2,3
HH1117,5,1,Sister,12,F,1,5,5, ,0,0,0,0,2,3
HH1117,6,1,Cousin,5,F,1,5,5, ,0,0,0,0,2,3
HH1118,1,1,Father,51,M,0, , , , , , , , , 
HH1118,2,1,Mother,45,F,0, , , , , , , , , 
HH1118,3,1,Brother,15,M,1, , , , , , , , , 
HH1118,4,1,Sister,25,F,0, , , , , , , , , 
HH1118,5,1,Nephew,5,M,0, , , , , , , , , 
HH1118,6,1,Grandmother,68,F,0, , , , , , , , , 
HH1118,7,1,Other relative,32,M,0, , , , , , , , , 
HH1119,1,1,Daughter-in-law,29,F,0,5,2,1,0,0,0,0,2,1
HH1119,2,1,Grandchild,4,M,0,5,2,1,0,0,0,0,2,1
HH1119,3,1,Grandchild,3,M,0,5,2,1,0,0,0,0,2,1
HH1119,4,1,Grandchild,0,M,0,5,2,1,0,0,0,0,2,1
HH1119,5,1,Grandchild,2,M,0,5,2,1,0,0,0,0,2,1
HH1119,6,1,Daughter,10,F,1,5,2,1,0,0,0,0,2,1
HH1120,1,1,Grandmother,76,F,0, , , , , , , , , 
HH1120,2,1,Uncle,10,M,0, , , , , , , , , 
HH1120,3,1,Not related,19,M,0, , , , , , , , , 
HH1121,1,1,Grandmother,84,F,1,4,2,1,1,0,0,0,3,3
HH1121,2,1,Sister,9,F,1,4,2,1,1,0,0,0,3,3
HH1121,3,1,Not related,28,M,0,4,2,1,1,0,0,0,3,3
HH1122,1,1,Mother,38,F,0,5,2,1,0,0,0,0,3,3
HH1122,2,1,Grandmother,70,F,0,5,2,1,0,0,0,0,3,3
HH1122,3,1,Sister,11,F,0,5,2,1,0,0,0,0,3,3
HH1122,4,1,Sister,11,F,0,5,2,1,0,0,0,0,3,3
HH1122,5,1,Aunt,14,F,0,5,2,1,0,0,0,0,3,3
HH1122,6,1,Cousin,6,F,0,5,2,1,0,0,0,0,3,3
HH1122,7,1,Cousin,10,M,1,5,2,1,0,0,0,0,3,3
HH1123,1,1,Mother,28,F,1, , , , , , , , , 
HH1123,2,1,Father,30,M,1, , , , , , , , , 
