hh_id,hhline,hh_member_id,study_site,hhmem_relation_ego,hhmem_age,hhmem_gender,sleep_room_ego,hh_access_to_water,hh_toilet,hh_shared_toilet,hh_electricity,hh_refridgerator,hh_radio,hh_television,type_house,type_floor
HH403,1,HH403_1,2,Husband,32,M,1,4,2,1,0,0,1,0,3,3
HH403,2,HH403_2,2,Son,7,M,1,4,2,1,0,0,1,0,3,3
HH403,3,HH403_3,2,Son,3,M,1,4,2,1,0,0,1,0,3,3
HH403,4,HH403_4,2,Mother-in-law,69,F,0,4,2,1,0,0,1,0,3,3
HH403,5,HH403_5,2,Brother,16,M,0,4,2,1,0,0,1,0,3,3
HH404,1,HH404_1,2,Mother,32,F,1,4,3,1,0,0,0,0,2,1
HH404,2,HH404_2,2,Uncle,17,M,0,4,3,1,0,0,0,0,2,1
HH405,1,HH405_1,2,Mother,20,F,0,10,2,1,0,0,0,0,3,3
HH405,2,HH405_2,2,Uncle,23,M,0,10,2,1,0,0,0,0,3,3
HH405,3,HH405_3,2,Uncle,17,M,1,10,2,1,0,0,0,0,3,3
HH405,4,HH405_4,2,Uncle,18,M,1,10,2,1,0,0,0,0,3,3
HH405,5,HH405_5,2,Uncle,10,M,1,10,2,1,0,0,0,0,3,3
HH405,6,HH405_6,2,Grandmother,45,F,0,10,2,1,0,0,0,0,3,3
HH405,7,HH405_7,2,Grandfather,62,M,0,10,2,1,0,0,0,0,3,3
HH405,8,HH405_8,2,Brother,NA,M,0,10,2,1,0,0,0,0,3,3
HH405,9,HH405_9,2,Sister,4,F,0,10,2,1,0,0,0,0,3,3
HH406,1,HH406_1,2,Father-in-law,63,M,0,6,2,1,0,0,0,0,3,3
HH406,2,HH406_2,2,Mother-in-law,53,F,0,6,2,1,0,0,0,0,3,3
HH406,3,HH406_3,2,Husband,28,M,1,6,2,1,0,0,0,0,3,3
HH406,4,HH406_4,2,Daughter,2,F,1,6,2,1,0,0,0,0,3,3
HH406,5,HH406_5,2,Nephew,12,M,0,6,2,1,0,0,0,0,3,3
HH408,1,HH408_1,2,Father,45,M,1,5,3,1,0,0,1,0,2,1
HH408,2,HH408_2,2,Brother,19,M,0,5,3,1,0,0,1,0,2,1
HH408,3,HH408_3,2,Brother,16,M,0,5,3,1,0,0,1,0,2,1
HH408,4,HH408_4,2,Sister,13,F,0,5,3,1,0,0,1,0,2,1
HH408,5,HH408_5,2,Mother,35,F,1,5,3,1,0,0,1,0,2,1
HH409,1,HH409_1,2,Mother,45,F,0,5,5,NA,0,0,0,0,2,3
HH409,2,HH409_2,2,Brother,8,M,0,5,5,NA,0,0,0,0,2,3
HH409,3,HH409_3,2,Sister,14,F,0,5,5,NA,0,0,0,0,2,3
HH410,1,HH410_1,2,Mother,38,F,1,2,1,2,1,0,0,0,3,3
HH410,2,HH410_2,2,Brother,16,M,1,2,1,2,1,0,0,0,3,3
HH410,3,HH410_3,2,Brother,12,M,1,2,1,2,1,0,0,0,3,3
HH411,1,HH411_1,2,Aunt,49,F,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
HH411,2,HH411_2,2,Uncle,69,M,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
HH411,3,HH411_3,2,Cousin,13,M,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
HH412,1,HH412_1,2,Husband,31,M,1,5,2,1,0,0,0,0,3,3
HH412,2,HH412_2,2,Mother-in-law,54,F,0,5,2,1,0,0,0,0,3,3
HH412,3,HH412_3,2,Son,2,M,1,5,2,1,0,0,0,0,3,3
HH412,4,HH412_4,2,Aunt,25,F,0,5,2,1,0,0,0,0,3,3
HH412,5,HH412_5,2,Daughter,0,F,0,5,2,1,0,0,0,0,3,3
HH412,6,HH412_6,2,Daughter,0,F,0,5,2,1,0,0,0,0,3,3
HH412,7,HH412_7,2,Daughter,3,F,0,5,2,1,0,0,0,0,3,3
HH413,1,HH413_1,2,Husband,34,M,1,1,1,1,1,1,1,1,3,3
HH413,2,HH413_2,2,Son,2,M,0,1,1,1,1,1,1,1,3,3
HH413,3,HH413_3,2,Daughter,10,F,0,1,1,1,1,1,1,1,3,3
HH413,4,HH413_4,2,Other relative,15,F,0,1,1,1,1,1,1,1,3,3
HH414,1,HH414_1,2,Grandmother,51,F,0,5,3,1,0,0,0,0,3,3
HH414,2,HH414_2,2,Aunt,24,F,1,5,3,1,0,0,0,0,3,3
HH414,3,HH414_3,2,Aunt,3,F,1,5,3,1,0,0,0,0,3,3
HH414,4,HH414_4,2,Cousin,0,M,0,5,3,1,0,0,0,0,3,3
HH414,5,HH414_5,2,Sister,16,F,1,5,3,1,0,0,0,0,3,3
HH415,1,HH415_1,2,Son,2,M,1,2,1,1,0,0,0,0,3,3
HH416,1,HH416_1,2,Mother,37,F,0,5,2,1,0,0,0,0,2,3
HH416,2,HH416_2,2,Father,41,M,0,5,2,1,0,0,0,0,2,3
HH416,3,HH416_3,2,Brother,14,M,0,5,2,1,0,0,0,0,2,3
HH416,4,HH416_4,2,Sister,12,F,1,5,2,1,0,0,0,0,2,3
HH416,5,HH416_5,2,Sister,9,F,1,5,2,1,0,0,0,0,2,3
HH417,1,HH417_1,2,Grandmother,84,F,1,2,2,1,0,0,0,0,3,3
HH417,2,HH417_2,2,Aunt,17,F,1,2,2,1,0,0,0,0,3,3
HH418,1,HH418_1,2,Niece,16,F,0,4,2,1,0,0,0,0,3,3
HH419,1,HH419_1,2,Mother,46,F,0,5,2,1,0,0,1,0,3,3
HH419,2,HH419_2,2,Brother,21,M,0,5,2,1,0,0,1,0,3,3
HH419,3,HH419_3,2,Sister,17,F,1,5,2,1,0,0,1,0,3,3
HH419,4,HH419_4,2,Sister,14,F,1,5,2,1,0,0,1,0,3,3
HH419,5,HH419_5,2,Father,43,M,0,5,2,1,0,0,1,0,3,3
HH420,1,HH420_1,2,Father,NA,M,0,3,2,1,0,0,0,0,3,3
HH420,2,HH420_2,2,Mother,36,F,0,3,2,1,0,0,0,0,3,3
HH420,3,HH420_3,2,Aunt,NA,F,0,3,2,1,0,0,0,0,3,3
HH420,4,HH420_4,2,Brother,17,M,0,3,2,1,0,0,0,0,3,3
HH420,5,HH420_5,2,Sister,14,F,1,3,2,1,0,0,0,0,3,3
HH420,6,HH420_6,2,Brother,13,M,0,3,2,1,0,0,0,0,3,3
HH420,7,HH420_7,2,Brother,11,M,0,3,2,1,0,0,0,0,3,3
HH420,8,HH420_8,2,Sister,10,F,0,3,2,1,0,0,0,0,3,3
HH420,9,HH420_9,2,Sister,9,F,0,3,2,1,0,0,0,0,3,3
HH420,10,HH420_10,2,Brother,5,M,0,3,2,1,0,0,0,0,3,3
HH421,1,HH421_1,2,Husband,64,M,1,5,3,1,1,0,0,0,3,3
HH422,1,HH422_1,2,Husband,34,M,1,5,3,1,1,0,0,0,2,1
HH422,2,HH422_2,2,Daughter,9,F,1,5,3,1,1,0,0,0,2,1
HH422,3,HH422_3,2,Daughter,5,F,1,5,3,1,1,0,0,0,2,1
HH422,4,HH422_4,2,Daughter,0,F,1,5,3,1,1,0,0,0,2,1
HH422,5,HH422_5,2,Mother,31,F,1,5,3,1,1,0,0,0,2,1
HH422,6,HH422_6,2,Father,34,M,1,5,3,1,1,0,0,0,2,1
HH422,7,HH422_7,2,Sister,9,F,1,5,3,1,1,0,0,0,2,1
HH422,8,HH422_8,2,Sister,5,F,1,5,3,1,1,0,0,0,2,1
HH423,1,HH423_1,2,Father,NA,M,0,5,2,1,0,0,1,0,3,3
HH423,2,HH423_2,2,Mother,NA,F,0,5,2,1,0,0,1,0,3,3
HH423,3,HH423_3,2,Brother,NA,M,0,5,2,1,0,0,1,0,3,3
HH423,4,HH423_4,2,Daughter-in-law,NA,F,0,5,2,1,0,0,1,0,3,3
HH423,5,HH423_5,2,Son,11,M,0,5,2,1,0,0,1,0,3,3
HH423,6,HH423_6,2,Son,13,M,0,5,2,1,0,0,1,0,3,3
HH423,7,HH423_7,2,Son,4,M,0,5,2,1,0,0,1,0,3,3
HH424,1,HH424_1,2,Father,43,M,1,5,2,1,0,0,0,0,3,3
HH424,2,HH424_2,2,Mother,38,F,1,5,2,1,0,0,0,0,3,3
HH424,3,HH424_3,2,Brother,17,M,0,5,2,1,0,0,0,0,3,3
HH424,4,HH424_4,2,Brother,14,M,0,5,2,1,0,0,0,0,3,3
HH424,5,HH424_5,2,Brother,8,M,1,5,2,1,0,0,0,0,3,3
HH424,6,HH424_6,2,Sister,1,F,1,5,2,1,0,0,0,0,3,3
HH425,1,HH425_1,2,Mother,60,F,1,5,2,1,0,0,0,0,2,3
